© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
KN 93	 	chemical - kinase inhibitor	 	-1.982	bias	3.64E-02	CALCB,FOS,NR4A1,NR4A2	 	
maneb	 	chemical toxicant	 	-1.897	bias	3.85E-04	CACNA1E,CCDC88A,CEP290,DGKI,KCNA2,LRP4,MARCH9,NR4A1,PLCE1,UTP14C	 	
ranitidine	 	chemical drug	 	 	 	7.85E-04	IFNG,PENK,TNF	159 (13)	
losartan potassium	 	chemical drug	 	-1.245	bias	1.90E-02	CREM,EGR1,FOS,HSPA5,IL18,KL,MMP9,SOCS3,TNF,VEGFA	 	
cerulenin	 	chemical drug	 	 	 	3.98E-03	ERBB2,ESR1,VEGFA	267 (15)	
ethanol	 	chemical - endogenous mammalian	 	-0.058	 	1.12E-03	ANPEP,ATF3,CXCR4,DUSP1,EGR1,ESR1,FOS,FOSB,FOSL2,HLA-A,HSPA5,HTATIP2,IFNG,IL15,IL1R2,KLF6,MMP9,MYCL,Pde4d,PLK3,PPARG,SCD,Sik1,SLC40A1,SLC7A11,SRXN1,SYT1,TIMP2,TLR8,TNF	226 (19)	
ifenprodil	 	chemical drug	 	 	 	1.76E-02	PRKCG,RYR1	 	
selfotel	 	chemical drug	 	 	 	4.38E-02	FOS	 	
nocodazole	 	chemical reagent	 	1.967	 	3.16E-01	FOS,GRK3,PRKCG,PTK2,SCD	 	
RP 48740	 	chemical drug	 	 	 	4.38E-02	TNF	 	
H89	 	chemical - kinase inhibitor	 	-1.356	bias	1.05E-04	CD80,COL10A1,CREM,CYP17A1,DUSP1,EGR1,EGR3,FOS,MMP9,NFIL3,NR4A1,NR4A2,PLA2G4A,POU2AF1,PPP1R16B,TNF,VEGFA	276 (20)	
propagermanium	 	chemical drug	 	 	 	4.38E-02	TNF	 	
Y 27632	 	chemical drug	 	-0.800	bias	5.49E-03	CDH1,CDKN2A,COL10A1,FOS,IL18,MMP9,PPARG,TJP1	233 (20)	
L-826,141	 	chemical drug	 	 	 	1.76E-02	IFNG,TNF	 	
salmeterol	 	chemical drug	 	0.223	 	2.30E-04	DUSP1,RGS2,SLPI,SOCS3,TNF	300 (19)	
Astra 1397	 	chemical reagent	 	 	 	4.38E-02	CHRM3	 	
manumycin A	 	chemical reagent	 	 	 	1.06E-02	ANPEP,TNF,VEGFA	 	
methylphenidate	 	chemical drug	 	 	 	4.19E-02	EGR1,FOS,FOSB	 	
methylselenic acid	 	chemical reagent	 	1.461	 	1.55E-02	ATF3,ATF5,CDKN2A,ESR1,GUCY1A3,ID3,IGF1R,INPP4B,JUNB,KLF4,KLK3,MATN2,MEN1,MYBL2,NFIL3,SCD,TNFAIP3,TNFRSF25,VEGFA	 	
imiquimod	 	chemical drug	 	1.027	bias	2.04E-04	CD274,CD40,CD80,CDKN2A,FOS,IFNG,IL18,ISG20,JUNB,OAS1,POU2AF1,TNF	230 (17)	
mifobate	 	chemical drug	 	 	 	4.38E-02	CDH1	 	
thalidomide	 	chemical drug	 	-1.930	bias	1.74E-02	CD80,GADD45B,IFNG,TNF,VEGFA	 	
GW9662	 	chemical reagent	 	1.179	 	1.59E-02	CEACAM1,FOS,HSPA5,IFNG,IRS2,KLF4,PPARG,RARB,TNF	 	
troglitazone	 	chemical drug	 	1.511	 	3.09E-04	ABCG2,ATF3,C3,CD80,CDH1,CDKN2A,CIITA,EGR1,EPHA1,FABP3,FOS,GRK3,HBA1/HBA2,HSPA5,IFNG,IRS1,KL,KLF4,KLK3,LIPE,MMP9,NR1H3,NR4A1,NR4A3,PLIN4,PNPLA8,PPARG,SCD,SLC27A1,TGIF1,TNF,VEGFA	249 (19)	
(R)-5-(2-azetidnylmethoxy)-2-chloropyridine	 	chemical drug	 	 	 	4.38E-02	FOS	 	
GW3965	 	chemical reagent	 	0.474	 	1.55E-02	CD80,LIPE,MMP9,NR1H3,SCD,SOCS3,TNF,VEGFA	 	
carbonyl cyanide m-chlorophenyl hydrazone	 	chemical toxicant	 	0.412	bias	2.78E-02	DUSP5,ESM1,IGF1R,NAMPT,NFKBIZ,ZFP36L1	 	
di(2-ethylhexyl) phthalate	 	chemical toxicant	 	1.664	 	1.08E-02	CDH1,CEACAM1,CYP17A1,EGR1,FOS,FOSB,SLC27A1	 	
crocidolite asbestos	 	chemical toxicant	 	 	 	4.51E-02	BCAT1,FOS,FOSL2,JUNB	 	
6-cyano-7-nitroquinoxaline-2,3-dione	 	chemical reagent	 	 	 	1.52E-03	EGR1,FOS,JUNB	 	
diethylmaleate	 	chemical toxicant	 	 	 	4.19E-02	SLC3A2,SLC7A11,TNFAIP3	 	
sodium dodecyl sulfate	 	chemical drug	 	 	 	4.51E-02	IFNG,TNF	 	
halothane	 	chemical drug	 	 	 	2.56E-02	FOS,TNF	 	
erythromycin	 	chemical drug	 	 	 	3.07E-02	HBB,IFNG,TNF	 	
aldehyde	 	chemical - endogenous mammalian	 	 	 	4.38E-02	TNF	 	
muromonab-CD3	 	biologic drug	 	 	 	2.13E-02	CD69,IFNG,TNF	 	
oseltamivir	 	chemical drug	 	 	 	5.59E-03	IFNG,TNF	126 (7)	
hexaarginine-neomycin B conjugate	 	chemical reagent	 	 	 	1.92E-03	CD8A,CXCR4	 	
MALP-2s	 	chemical reagent	 	0.322	bias	2.54E-02	CD40,IFNG,IL15,TNF	 	
histone deacetylase	 	complex	 	-1.414	bias	2.42E-04	CDH1,CDKN2A,CXCR4,JUNB,KL,MMP9,PER1,TNF	259 (20)	
GABA receptor	 	complex	 	 	 	1.52E-03	NR4A1,NR4A2,NR4A3	 	
GABP	 	complex	 	 	 	4.51E-02	ERBB2,NDST2	 	
sapropterin	 	chemical drug	 	 	 	4.38E-02	VEGFA	 	
bafilomycin A1	 	chemical drug	 	-1.000	bias	4.51E-02	ABCG2,CD40,TIMP2,TNF	 	
isoproterenol	 	chemical drug	 	1.121	bias	1.78E-03	ALDH3B1,ATF3,CREM,FOS,FOSL2,JUNB,MMP9,NAMPT,NR4A1,ODC1,PRNP,SCD,TIMP2,TNF,VEGFA	246 (21)	
sphingosine-1-phosphate	 	chemical - endogenous mammalian	 	0.044	bias	1.12E-02	CCR3,CDH1,EGR1,ENPP2,FOS,IFNG,MMP9,S1PR3,TNF	 	
clodronic acid	 	chemical drug	 	-1.852	bias	4.51E-02	CD40,CD80,FOS,TNF	 	
cerivastatin	 	chemical drug	 	1.184	 	6.41E-03	CD40,GCH1,IFNG,IGF1R,MMP9,MYBL2,PPARG,TNF,VEGFA	244 (20)	
atorvastatin	 	chemical drug	 	1.950	 	6.31E-04	CD40,CD69,CXCR4,DUSP1,EGR1,FOS,FOSB,GADD45B,HBA1/HBA2,HBB,IFNG,JUNB,MMP9,MTTP,NR1H3,NR4A1,PPARG,PRNP,RGS1,VEGFA	234 (16)	
pravastatin	 	chemical drug	 	-0.283	 	3.80E-02	CD40,HBA1/HBA2,NR1H3,TNF,VEGFA,Xlr3c (includes others)	 	
simvastatin	 	chemical drug	 	1.606	 	3.15E-04	ACVR1,ANXA1,CD40,CD81,CDH1,CIITA,COL10A1,ESR1,FOS,HBA1/HBA2,IFNG,IL18,KLF4,MMP9,NFIX,S1PR3,SOCS3,TIMM10,TNF,VEGFA,Xlr3c (includes others)	220 (17)	
lovastatin	 	chemical drug	 	0.943	 	4.19E-02	ATF3,CIITA,HBA1/HBA2,IFNG,KLF4,PIK3R3,TFPI,TNF,TNFRSF8,Xlr3c (includes others)	 	
calcitriol	 	chemical drug	 	1.296	 	2.99E-04	AHR,BCAT1,C3,CALCB,CCR8,CD40,CD69,CDH1,CENPH,CENPS/CENPS-CORT,DUSP1,EGR1,EHF,ERBB2,ESR1,FOS,HPGD,IFNG,IGF1R,IL18,KIF20A,KL,KLF4,KSR2,MELK,NTHL1,ODC1,PMEPA1,PPARG,RAD51AP1,RFC3,RNF144A,SERPINB9,SOCS3,SQOR,TFPI,TJP1,TLR8,TMEM160,TNF,TNFAIP3,TSHZ3,VEGFA	292 (17)	
retinoid	 	chemical drug	 	-0.873	 	1.06E-02	CEACAM1,DUSP1,IFNG,LIMA1,RARB,VEGFA	 	
formaldehyde	 	chemical - endogenous mammalian	 	1.258	bias	1.88E-05	EGR1,FOS,FOSB,FOSL2,IGF1R,JUNB,MMP9,PENK	210 (19)	
2-butenal	 	chemical toxicant	 	 	 	1.76E-02	IFNG,TNF	 	
diazepam	 	chemical drug	 	 	 	2.57E-03	FOS,IFNG,PER1	152 (10)	
olanzapine	 	chemical drug	 	0.867	 	1.08E-03	ATF3,CHST3,FOS,HBA1/HBA2,HSPA8,NR4A1,NR4A2,NR4A3,PLA2G4A,RGS2,SC5D,TRIM17	158 (15)	
triazolam	 	chemical drug	 	 	 	4.38E-02	PER1	 	
GYKI 52466	 	chemical drug	 	 	 	4.38E-02	FOS	 	
SB-431542	 	chemical reagent	 	0.000	 	1.08E-03	CDH1,CDKN2A,CHRM3,CYP17A1,ETS2,FOS,GADD45B,ID3,IFNG,IL1R2,TGIF1,TJP1	281 (23)	
arachidonyl-2-chloroethylamide	 	chemical reagent	 	 	 	4.38E-02	EGR1	 	
fingolimod	 	chemical drug	 	-1.276	bias	8.93E-03	CD274,CD40,CD69,IFNG,LIPE,S1PR3,TNF	228 (24)	
1-heptanol	 	chemical reagent	 	 	 	5.59E-03	CD40,CD80	 	
1-chloro-2-(2,2,2-trichloro-1-(4-chlorophenyl)ethyl)benzene	 	chemical toxicant	 	 	 	1.73E-02	AHR,CYP17A1,GADD45B	 	
xaliproden	 	chemical drug	 	 	 	3.48E-02	IFNG,TNF	 	
emodin	 	chemical drug	 	-0.404	bias	1.43E-02	CDH1,CXCR4,ERBB2,HLA-DOB,HSPA5,MMP9,TNF	 	
SP600125	 	chemical - kinase inhibitor	 	-1.083	bias	5.88E-06	Abcb1b,ATF3,BCL2L2,CD80,CTLA4,DSG2,EGR1,FOS,FOSB,IFNG,IL15,IRS1,ITGA3,JUNB,MMP9,NR4A1,PER1,PLA2G4A,PPARG,RARB,SCD,SH3RF1,SOCS3,TNF,VEGFA	226 (20)	
(+)-MK-801	 	chemical drug	 	-0.369	 	4.50E-03	CACNB3,CREM,EGR1,FOS,FOSB,HSPA5,INPP4B,ITGA2B,JUNB	265 (21)	
3-methylcholanthrene	 	chemical toxicant	 	0.265	bias	1.58E-03	Abcb1b,ALAS2,FOS,GSTM5,IFNG,NR4A1,SLC7A11,TNF	250 (17)	
NSC 95397	 	chemical reagent	 	 	 	4.38E-02	TNF	 	
WIN 55,212-2	 	chemical - other	 	 	 	3.39E-03	KLK3,MMP9,TNF,VEGFA	243 (20)	
vitamin K3	 	chemical drug	 	1.673	bias	1.39E-03	EGR1,ESM1,FOS,HSPA5,KLF6,NAMPT	204 (18)	
carbon tetrachloride	 	chemical toxicant	 	0.813	bias	9.65E-04	ATF3,CELA1,Cyp2d22,DUSP1,FOS,GADD45B,HSP90AA1,IFNG,IL13RA1,JUNB,MMP9,NR4A1,ODC1,PPARG,PPP1R15A,PRNP,S1PR3,SKIL,TIMP2,TNF	271 (21)	
pyrrolidine dithiocarbamate	 	chemical reagent	 	-0.124	bias	2.34E-03	ANXA1,CD40,CD80,CXCR4,CYP17A1,IFNG,IGF1R,MMP9,NR4A1,PPARG,TNF,VEGFA	270 (18)	
SB 216763	 	chemical toxicant	 	1.382	bias	6.12E-08	BHLHE40,CD40,DLG2,FOSB,FSCN1,NR4A1,NR4A2,NR4A3,RGS1,RGS2,SCD,TNF	233 (16)	
SU5614	 	chemical - kinase inhibitor	 	 	 	4.38E-02	VEGFA	 	
Go 6976	 	chemical - kinase inhibitor	 	-0.438	bias	3.01E-02	CHGB,ERBB2,FOS,IFNG,MMP9,NR4A2	 	
pentobarbital	 	chemical drug	 	 	 	2.13E-02	FOS,JUNB,NR4A1	 	
praziquantel	 	chemical drug	 	 	 	2.56E-02	IFNG,TNF	 	
pralnacasan	 	chemical drug	 	 	 	1.92E-03	IFNG,IL18	152 (6)	
saquinavir	 	chemical drug	 	 	 	2.56E-02	LIPE,MMP9	 	
quinuclidinyl benzilate	 	chemical reagent	 	 	 	4.38E-02	CHRM3	 	
ONO-8711	 	chemical drug	 	 	 	4.38E-02	FOS	 	
ATL146e	 	chemical drug	 	 	 	4.38E-02	IFNG	 	
nifedipine	 	chemical drug	 	-1.287	 	4.58E-02	CYP17A1,FOS,IFNG,IRS1,NR4A1,TNF,VEGFA	 	
acetic acid	 	chemical - endogenous mammalian	 	 	 	3.98E-03	EGR1,FOS,JUNB	183 (11)	
butyric acid	 	chemical - endogenous mammalian	 	-0.522	 	2.60E-04	AFF1,ANXA1,CALCB,CCR3,CD80,CD81,CDH1,CDKN2A,CXCR4,DUSP1,FES,FFAR2,FOS,GGT1,HBA1/HBA2,HBB,IRS1,JCHAIN,KLF4,KLK3,MMP9,MT-CO2,MYCL,NAMPT,NEU3,NR4A1,PAX5,PPARG,PTPRM,PYGL,SOCS3,SRSF2,TGM1,TNF,VEGFA,ZFP36L1	301 (23)	
catechol	 	chemical - endogenous mammalian	 	 	 	1.76E-02	FOS,TNF	 	
mesalamine	 	chemical drug	 	-1.091	 	6.22E-04	CD274,HPGD,ODC1,PPARG	238 (12)	
magnolol	 	chemical - endogenous non-mammalian	 	 	 	3.60E-02	FOS,MMP9,TNF	 	
8-hydroxy-2-(di-n-propylamino)tetralin	 	chemical reagent	 	 	 	4.51E-02	FOSB,NR4A1	 	
propofol	 	chemical drug	 	1.715	bias	2.18E-02	ANXA1,EGR1,FOS,MMP9,TNF	 	
baclofen	 	chemical drug	 	 	 	1.06E-02	FOS,PER1,RYR1	 	
trans-hydroxytamoxifen	 	chemical drug	 	0.905	 	1.37E-02	BLNK,DUSP1,EGR3,ERBB2,IRF6,KLF6,KYNU,MATN2,PLK2,SELENBP1,SERPINB9	 	
epigallocatechin-gallate	 	chemical drug	 	-0.029	bias	2.21E-03	AHR,BCL2L2,CACNB3,CDH1,CDKN2A,EGR1,ERBB2,ESR1,FOS,FOSB,FOSL2,GADD45B,IFNG,IGF1R,IL18,JUNB,KLK3,MMP9,TNF,VEGFA	271 (21)	
salirasib	 	chemical drug	 	1.016	bias	2.55E-02	ATF3,BHLHE40,BNIP3,PFKFB4,TJP1,VEGFA	 	
bisphenol A	 	chemical - endogenous non-mammalian	 	1.142	bias	9.66E-03	C3,CDH1,EGR1,ESR1,FOS,HSPA1A/HSPA1B,MMP9,NR4A1,NR4A2,NR4A3,PFKFB4,PPARG,SKIL	279 (20)	
tert-butyl-hydroquinone	 	chemical reagent	 	0.874	bias	3.60E-04	ATF3,CHML,FOS,FOSL2,GSTM5,HSPA5,HSPA8,JUNB,PALLD,PHKA1,TNF,ZFP36L2	286 (22)	
sodium arsenite	 	chemical drug	 	1.966	 	8.93E-03	EGR1,ESR1,FOS,GADD45B,PPARG,SOCS3,VEGFA	257 (20)	
cobalt chloride	 	chemical reagent	 	1.241	bias	4.06E-04	ANPEP,BHLHE40,BNIP3,CXCR4,DUSP1,E2F6,RGS1,SERPINF1,SLC40A1,TJP1,VEGFA	267 (21)	
potassium ferricyanide	 	chemical toxicant	 	 	 	4.38E-02	VEGFA	 	
zinc sulfate	 	chemical drug	 	 	 	4.82E-02	C3,Hspa1b,TNF	 	
arsenic trioxide	 	chemical drug	 	1.132	 	1.14E-02	BNIP3,GGT1,HSPA5,MMP9,PPARG,PRAM1,RARB,SCD,SKIL,SLC7A11,TGIF1,TNF,VEGFA	 	
potassium chloride	 	chemical drug	 	1.988	bias	1.12E-02	ATF3,EGR1,FOS,HSPA5,ID3,NR4A1,NR4A2,NR4A3,ODC1	 	
hydrogen sulfide	 	chemical - endogenous mammalian	 	 	 	3.07E-02	CD69,HSPA5,KLK3	 	
DETA-NONOate	 	chemical reagent	 	0.666	 	2.14E-02	DUSP1,FOS,IFNG,MMP9,TNF,TNFSF4	 	
hemozoin	 	chemical - endogenous non-mammalian	 	-0.130	bias	2.88E-02	CD80,CXCR4,MMP9,TNF	 	
zymosan A	 	chemical - endogenous non-mammalian	 	-0.805	bias	1.01E-02	ANXA1,CD40,CD80,TNF	 	
N,N-dimethylsphingosine	 	chemical reagent	 	 	 	1.37E-02	FOS,GCH1,TNF	 	
isotretinoin	 	biologic drug	 	0.576	bias	4.58E-02	CD19,HPGD,IFNG,MMP9,OAS1,ODC1,RARB	 	
beta-carotene	 	chemical - endogenous mammalian	 	-0.128	bias	3.25E-02	CELA1,HSPA1A/HSPA1B,IFNG,PPARG,TNF	 	
acitretin	 	chemical drug	 	 	 	7.99E-03	IFNG,ODC1,TGM1	 	
arotinoid acid	 	chemical toxicant	 	-1.387	bias	6.03E-04	DUSP1,FOS,ODC1,RARB,SCD,TNF	285 (20)	
tretinoin	 	chemical - endogenous mammalian	 	-0.590	 	2.49E-02	ADA,AHR,ANPEP,ANXA1,BHLHE40,BNIP3,C3,CALCB,CD80,CDH1,CDKN2A,CEACAM1,CENPX,CFP,CHGB,CREM,CSF3R,CSRNP1,CTLA4,CXCR4,CYP17A1,CYP2R1,DPYSL5,DSP,DUSP1,EEF1A1,EGR1,ENPP2,EPHA1,Fcna,FFAR2,FOS,FOSL2,GGT1,GNAO1,HLA-A,HLA-DMB,HSF4,ID3,IFNG,IGF1R,IL15,IRS1,ITGA2B,JCHAIN,KIAA0513,KLK3,LIPE,LRRC32,MAP3K10,MMP9,MYBL2,NLRC4,NME3,NTHL1,OAS1,ODC1,PALLD,PENK,PLA2G7,PLCE1,PLK2,PLK3,PNRC1,PPARG,PPP1R16B,PRAM1,PRNP,RARB,RTP4,SCD,SERPINB9,SLC16A2,SLC38A2,SLPI,TGM1,TJP1,TLE1,TNF,TNFAIP3,TSPAN33,Ubb,VEGFA,XK	 	
alpha-tocopherol	 	chemical drug	 	-1.982	bias	2.22E-02	HSPA1A/HSPA1B,IFNG,PPARG,TNF	 	
gamma-tocotrienol	 	chemical drug	 	 	 	2.13E-02	IL18,TNF,TNFAIP3	 	
histamine	 	chemical - endogenous mammalian	 	-0.153	bias	3.65E-03	CD40,CD80,CXCR4,FOS,IFNG,IL18,NR4A1,PENK,TJP1,TNF	199 (18)	
ethylenediaminetetraacetic acid	 	chemical drug	 	 	 	1.91E-03	EGR1,IFNG,MCAM,TNF	191 (18)	
spermidine	 	chemical - endogenous mammalian	 	 	 	2.13E-02	AMD1,FOS,ODC1	 	
trinitrobenzenesulfonic acid	 	chemical reagent	 	0.582	bias	1.94E-02	CALCB,FOS,IFNG,IL15,IL18,IL1R2,MMP9,SOCS3,TNF	 	
2,4-dinitrothiocyanatobenzene	 	chemical toxicant	 	 	 	1.92E-03	IFNG,TNF	 	
benzene	 	chemical toxicant	 	-0.816	 	4.08E-02	ANPEP,ATF5,BNIP3,EGR1,IL13RA1,STOM	 	
2,4-dinitrofluorobenzene	 	chemical toxicant	 	 	 	3.60E-02	IFNG,IL18,TNF	 	
fatty acid	 	chemical - endogenous mammalian	 	0.216	bias	3.12E-04	AHR,CREM,HSPA5,IRS1,MMP9,NR1H3,NR4A1,NR4A2,NR4A3,PLIN4,SCD,SLC27A1,TNF	218 (18)	
allotrap 1258	 	chemical drug	 	 	 	4.38E-02	TNF	 	
S-nitrosoglutathione	 	chemical toxicant	 	-0.940	 	9.49E-03	CD8A,IFNG,IRS1,IRS2,PPARG,TNF	271 (22)	
Pam3-Cys-Ser-Lys4	 	chemical reagent	 	0.670	bias	8.49E-04	CD274,CD40,CD69,CD80,HLA-A,IFNG,IL18,MMP9,NAMPT,NFKBIZ,RGS1,RGS2,SLC40A1,TNF	159 (14)	
Ac-YVAD-CMK	 	chemical - protease inhibitor	 	 	 	5.59E-03	IFNG,IL18	182 (11)	
murabutide	 	chemical reagent	 	 	 	3.48E-02	CD40,CD80	 	
astressin 2B	 	biologic drug	 	 	 	7.99E-03	FOS,HPGD,VEGFA	258 (19)	
benzyloxycarbonyl-Leu-Leu-Leu aldehyde	 	chemical - protease inhibitor	 	1.088	bias	8.51E-04	ABCG2,AHR,ATF3,CDH1,CDKN2A,DUSP1,ESR1,FOS,GCH1,HBB,HSF4,HSP90AA1,HSPA5,HSPA8,IFNG,IRS1,IRS2,KLK3,MMP9,PPARG,SLC27A1,TDO2,TJP1,TNF,ULBP1,VEGFA	296 (21)	
leuprolide	 	biologic drug	 	1.131	 	8.38E-03	EGR1,MMP9,NR4A1,NR4A3	161 (13)	
aplidine	 	biologic drug	 	1.103	bias	2.23E-04	DUSP1,FOS,FOSB,JUNB	209 (19)	
actinomycin D	 	chemical drug	 	-1.721	bias	3.01E-04	Abcb1b,CERS6,DUSP1,FOS,FOSL2,GCH1,GSTM5,GUCY1A3,IFNG,IGF1R,IL1R2,IRS1,IRS2,JMY,MTTP,PPARG,RGS2,SKIL,SLC27A1,SLC40A1,SOCS3,TNF,VEGFA	253 (20)	
BQ-788	 	chemical drug	 	 	 	7.99E-03	CDH1,MCAM,TNF	 	
goserelin	 	biologic drug	 	 	 	1.09E-02	IGF1R,VEGFA	 	
polaprezinc	 	chemical drug	 	 	 	4.51E-02	ODC1,TNF	 	
GLP-1-(7-34)-amide	 	chemical drug	 	 	 	1.43E-02	FOS,IGF1R,NR4A1,PPARG	 	
lisinopril	 	biologic drug	 	 	 	4.19E-02	FOS,TNF,VEGFA	 	
calpeptin	 	chemical reagent	 	0.152	 	3.39E-03	ESR1,GRK3,MMP9,PTK2	216 (17)	
MDL 28170	 	chemical toxicant	 	 	 	4.51E-02	AHR,PRNP	 	
exenatide	 	biologic drug	 	 	 	4.06E-02	FOS,IRS2,MMP9,PER1	 	
Ac-DEVD-CHO	 	chemical reagent	 	 	 	4.38E-02	FOS	 	
S-(2,3-bispalmitoyloxypropyl)-cysteine-GDPKHPKSF	 	chemical reagent	 	-0.056	bias	8.22E-05	CD40,CD80,IFNG,MMP9,SLC40A1,TNF	203 (17)	
amino acids	 	chemical - endogenous mammalian	 	-1.387	 	4.09E-03	FOS,FOSB,JUNB,ODC1,SLC38A2	258 (21)	
polysaccharide	 	chemical - endogenous mammalian	 	 	 	4.38E-02	TNF	 	
anti-benzo(a)pyrene-diol-epoxide	 	chemical toxicant	 	 	 	1.73E-02	BNIP3,GADD45B,TNF	 	
doxorubicin	 	chemical drug	 	-0.080	 	1.10E-02	ABCG2,ANXA1,ATF3,BCL2L2,BHLHE40,CD40,CDK14,CDKN2A,CKAP4,CREM,DPAGT1,DUSP1,DUSP5,EEF1A1,EGR1,ERBB2,ESR1,FOS,JAG1,KIF20A,LIMA1,NLRC4,PFKM,PIDD1,PIK3R3,PMEPA1,TNF,VEGFA	 	
ibutamoren	 	chemical drug	 	 	 	4.38E-02	FOS	 	
bisindolylmaleimide I	 	chemical - kinase inhibitor	 	-1.440	bias	5.08E-03	EGR1,FOS,HSPA5,KCNC1,KLK3,MMP9,NR4A1,NR4A2,TJP1,TNF,VEGFA	204 (20)	
3,3'-diindolylmethane	 	chemical drug	 	1.982	 	3.48E-01	ATF3,ERBB2,HLA-A,IFNG	 	
phorbol esters	 	chemical - other	 	1.038	bias	1.63E-04	ANXA1,DUSP1,DUSP2,EGR1,FOS,IFNG,ITGAD,JUNB,MMP9,ODC1,PRKCG,TGM1,TNF	247 (21)	
deoxynivalenol	 	chemical toxicant	 	 	 	3.64E-02	CYP17A1,HSPA5,TJP1,TNF	 	
ursolic acid	 	chemical drug	 	 	 	1.56E-02	ATF3,CD69,CXCR4,FOS,MMP9,PPARG,SLC38A2	 	
lycopene	 	chemical drug	 	 	 	4.19E-02	CD69,CDH1,MMP9	 	
kaempferol	 	chemical toxicant	 	0.152	bias	2.22E-02	ABCG2,CD69,MMP9,TNF	 	
daidzein	 	chemical drug	 	-1.265	 	7.52E-03	AIF1,DNASE1L3,ERBB2,ESR1,FCMR,Fcna,FOSB,HLA-A,MTTP,SIGLEC10	254 (12)	
apigenin	 	chemical - endogenous non-mammalian	 	-0.115	bias	1.80E-02	CREM,CYP17A1,FOS,IL17C,KLK3,MMP9,SLC27A1,TNF	 	
luteolin	 	chemical - endogenous non-mammalian	 	-0.446	bias	3.25E-03	CDH1,FOS,IGF1R,IRS1,MMP9,MTTP,TNF,VEGFA	232 (19)	
cytisine	 	chemical drug	 	 	 	4.38E-02	FOSB	 	
methyllycaconitine	 	chemical toxicant	 	 	 	1.09E-02	FOS,GCH1	 	
heroin	 	chemical drug	 	 	 	2.56E-02	FOSB,PENK	 	
reserpine	 	chemical drug	 	0.218	bias	4.37E-03	EGR1,FOS,GNAO1,IL18	123 (7)	
teleocidins	 	chemical toxicant	 	 	 	1.92E-03	FOS,ODC1	 	
irinotecan	 	chemical drug	 	 	 	1.37E-02	IFNG,IL18,TNF	 	
capsaicin	 	chemical drug	 	1.268	 	1.30E-02	CALCB,ERBB2,FOS,MMP9,PPARG,PTK2,TNF	 	
atropine	 	chemical drug	 	 	 	2.57E-03	CHRM3,FOS,VEGFA	173 (12)	
pilocarpine	 	chemical drug	 	 	 	3.07E-02	FOS,FOSB,JUNB	 	
palmatine	 	chemical toxicant	 	 	 	1.09E-02	Abcb1b,TNF	 	
berberine	 	chemical drug	 	-0.390	 	6.77E-04	Abcb1b,CD40,CD80,COX6A2,ENDOG,ERBB2,GRK3,MMP9,MTTP,PIK3R3,PPARG,TNF,VEGFA	255 (19)	
yohimbine	 	chemical drug	 	 	 	5.59E-03	EGR1,FOS	182 (15)	
topotecan	 	chemical drug	 	0.494	bias	5.52E-05	ABCG2,ATF3,C3,CD200,DUSP5,EGR1,EGR3,FHIT,FOSB,HSPA1A/HSPA1B,HSPA8,IRS1,JUNB,MGST2,MYBL2,PLK2,PLK3,PRNP,PTK2,PTPRM,VEGFA	159 (7)	
apomorphine	 	chemical drug	 	1.489	 	6.78E-03	BCL2L2,CACNB3,EGR1,FOS,IGF1R	224 (22)	
vinblastine	 	chemical drug	 	0.447	bias	6.78E-03	CD40,CD80,FOS,HLA-A,TNF	228 (19)	
paclitaxel	 	chemical drug	 	1.830	bias	5.43E-03	ABCG2,ATF3,BHLHE40,CACNB3,CD274,CD40,CD80,DUSP5,EGR1,ENPP2,GADD45B,HLA-A,HSF4,IFNG,ITGA3,KDM6B,KIF20A,KLK3,MMP9,TFPI,TNF,TUBB1,UTP14C	196 (11)	
piperine	 	chemical drug	 	 	 	3.60E-02	ERBB2,MMP9,TNF	 	
morphine	 	chemical drug	 	1.259	 	2.79E-03	AIF1,CALCB,ERBB2,FOS,FOSB,FOSL2,IFNG,IL18,JUNB,KCNB1,MMP9,NR4A1,PENK,TNF	271 (20)	
camptothecin	 	chemical drug	 	-0.503	 	2.63E-02	ATF3,BCL11A,BLK,CD200,CD40,CDKN2A,CLN8,DNAH17,DPAGT1,EEF1A1,F5,FES,FOS,FOSB,FSCN1,GADD45B,HLA-A,HLA-F,ID3,IL13RA1,MAFF,MELK,MICAL3,MMP9,NECTIN1,NR4A1,NR4A2,PIDD1,PPFIBP2,SERPINB9,SH3RF1,SKIL,SLPI,TNF,TNFAIP3,VEGFA,ZFP36L1	 	
caffeine	 	chemical drug	 	0.181	 	5.65E-04	CDH1,CDKN2A,EGR1,FOS,FOSB,JUNB,MT-CO1,NR4A1,PPARG,SRSF2	262 (19)	
3,7-dimethyl-1-propargylxanthine	 	chemical reagent	 	 	 	5.59E-03	FOS,TNF	160 (10)	
azelaic acid	 	chemical - endogenous mammalian	 	 	 	1.76E-02	PPARG,TNF	 	
tartaric acid	 	chemical reagent	 	 	 	4.38E-02	ERBB2	 	
LY 354740	 	chemical drug	 	 	 	4.38E-02	FOS	 	
