© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
SATB1	-9.407	transcription regulator	 	0.654	3.83E-05	ACTG1,BTLA,CD69,CD8A,CDK19,CDKN1A,CTNNA1,CYBB,DSTYK,EVI2A,FAM110A,FASLG,FOSB,FOXJ3,GADD45B,GATA3,GPR18,GTF2E1,HELZ2,HSP90AA1,HSPA8,HVCN1,IL16,IL4R,IRF7,IRF8,LAG3,LPIN2,NFE2L2,NR4A2,NUP153,PDCD1,PIK3IP1,PTGS2,RGS1,RIPK1,S1PR1,SELL,SGK1,SP4,TAF4B,TAOK1,TMEM2,TUBA4A,UBE2L6,UHRF1,VPS37B,VTA1,WARS,XAF1,YPEL5,ZKSCAN8,ZNF287	 	
FAS	-12.210	transmembrane receptor	 	-0.259	7.01E-04	AIFM1,AKAP2,AKT2,API5,ARAP2,ARL4A,BAX,BID,BIRC2,CABIN1,CASP3,CAST,CD48,CDK5R1,CDKN1A,CDKN1B,COL4A1,COL4A2,CREB1,CRYBG1,CXCL3,EGR1,ERCC1,F2RL1,FASLG,FCGR2B,FLOT2,FOS,FOSB,FSCN1,GPR107,HLA-DQB1,HLA-F,HPS5,IER3,IFIT1,IFNG,IL10,IL16,IL18R1,IL1RAP,IMPA2,INPP4A,ITGAV,KIF3C,LDLR,LGALS3,LY75,MAP2K4,MEF2C,MIF,MTMR1,MYO5A,NLRP1,NR4A1,NR4A2,NUAK2,OPTN,PAK2,PIK3C2B,PIK3CA,PIK3CG,PKN2,PLCL2,PLD2,PPP1R15A,PRKCI,PRKDC,PRUNE1,PTP4A2,RGS14,RND1,SELP,SERPINB9,SHC1,SIT1,SKIL,SPP1,STAMBP,STK17B,STK3,STK38,STK38L,SYK,TAGLN2,TBC1D1,TFRC,TGFB1,TNFAIP3,TNFRSF1B,TNFSF10,TRIB1,TUBA4A,UGCG,VEGFA,ZFP36	1058 (17)	
CNOT7	-152.272	transcription regulator	 	 	8.41E-03	B2M,CMPK2,HERC6,ISG15,OAS1,PARP12,PLSCR1,PPM1K,PSMB8,SLC14A1,SLC7A11,UBE2L6	 	
KEAP1	-6.885	transcription regulator	 	1.838	1.39E-01	Acp5,AHR,ATP6V0D2,GCLC,GSTP1,HMOX1,NFE2L2,PRDX1,SELP	 	
RB1	-9.294	transcription regulator	 	-1.587	9.89E-06	ACTB,AKT1,ALG5,APAF1,ASF1B,ATP1B1,Atp5k,ATP6V1D,BARD1,BAX,BCL2L11,BLM,BRCA1,CASP3,CASP7,CCNA2,CCNE1,CCNE2,CDCA7L,CDK5R1,CDKN1A,CDKN1B,CDT1,CENPK,CMAS,CNOT6L,COQ5,COX4I1,CWC27,DCK,DCTN4,DDX11,E2F3,EGR1,EHD3,EI24,EZH2,FAM111A,FOS,GADD45GIP1,GHITM,GMPS,HAUS1,HIST1H2AE,IDH3B,KPNA4,LACTB,MCM3,MCM4,MDH1,MEF2C,MELK,MFAP1,MRPL12,MRPL17,MRPL9,MSTO1,MYBL2,MYL4,NDUFA10,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA9,NDUFB8,NDUFS4,NIT1,NME1,OGT,OPA1,ORC1,PGD,PGRMC1,PIM1,PMPCB,POLD3,PPFIBP1,PPT2,RAD51,RBL2,RFC4,RMI1,RPS6KB1,RRM1,RRM2,SDHC,SDHD,SH3BP2,SMARCA5,SRPRA,TCF19,TERT,TFDP1,TGFB1,TMPO,TNNT1,TOB2,TOMM6,TOPBP1,TUBA1A,TUBG1,UBR7,UQCRFS1,UQCRQ,VEGFA,VRK1,ZNF655	909 (13)	
MAP3K8	-2.337	kinase	 	-1.999	7.49E-02	ADCY7,Apol7e (includes others),ARRDC3,Art2b,CCR5,CDK5R1,CDKN1B,COBLL1,CREBL2,CXCL3,DNAJA2,FAAP24,FAM107B,FLNB,FOS,FSCN1,GCA,GPR160,GPR171,IER3,IFNG,IL10,IRGM,PTGS2,RAB9A,RNMT,Rpl22l1,SENP7,SESN1,SOCS3,STAT4,STK17B,TAPBPL,TBX21,TICAM1,UBE2B	 	
RNF216	-1.258	enzyme	 	1.342	2.66E-02	IFIT1,ISG15,RIPK1,TICAM1,TIRAP	 	
CUL1	-4.417	enzyme	 	 	2.79E-02	BRCA1,CCND2,CCNE1,CDKN1B	 	
GABRG2	 	ion channel	 	 	3.61E-02	FOS,GPHN	 	
TSC1	-2886.277	other	 	0.997	3.64E-02	ATP6V1A,ATP6V1B2,BAX,CASP1,HMOX1,IFNG,IRS2,LDHB,PDCD1,RNF128,Rpl32,RPS6KB1	 	
NR4A1	-235.720	ligand-dependent nuclear receptor	 	-1.820	1.46E-01	ACLY,ADIPOR2,ALDOA,ATF3,BCL2L11,BPGM,CDKN1B,CST7,DFFA,EHHADH,ELK3,FASLG,HDAC6,HMOX1,IKZF4,IL10,IL16,IL21,INSL3,LDLR,LY6E,MAPK8,MAT2A,MDM2,NR4A2,NR4A3,NT5E,PDCD1,PGK1,RAP1GAP2,RXRA,SLC37A2,SLC39A11,SPINT2,SREBF1,TJP1,TNFRSF9,TNFSF10,TRIM41	 	
GNB1	-4.810	enzyme	 	 	2.41E-02	AHR,CDKN1A,CREM,CXCL3,DGAT1,DUSP1,FBXO31,FOSB,FOSL2,IER3,NR4A1,NR4A2,PLK2	 	
TBP	-35.307	transcription regulator	 	0.218	4.94E-03	ACTB,ASNS,CD3E,CDKN1A,EIF4E,ETS2,FASLG,FOS,HIST1H2AD,HLA-A,HMGCR,IER3,IGF2,LDLR,MANF,NF1,PTGS2,RN7SK,RNU1-4,RPL31,TNFAIP3,XDH	1082 (10)	
IND S1	 	chemical - kinase inhibitor	 	0.632	4.17E-03	ACTB,C1QBP,FH,HIBCH,HSPA1A/HSPA1B,PGK1,PRDX1,PRDX2,PSMA1,TUBB	 	
TRRAP	1.086	transcription regulator	 	 	9.00E-03	CCND2,CDKN1A,MCM3,MCM4,MDM2,TERT	714 (7)	
CDK4	-34.518	kinase	 	-1.000	4.80E-04	ATP6V0E1,AURKA,BCL2L11,BRCA1,CDC45,CDCA2,CDCA7,CDCA7L,CDK4,CDKN1A,CDKN1B,CENPK,CIP2A,CPNE3,DDIAS,DTL,ELAVL1,FAM83D,GPALPP1,GPC6,H2AFJ,HIST1H4H,KDM6B,KIF11,KIF20B,KIF4A,KLHDC1,KLHL24,KNL1,MED30,MELK,MESD,MTMR1,NT5E,POLD3,PPCS,RFC5,RGS2,SERINC3,SPC25,STOM,THNSL1,ZFP28,ZNF367	923 (13)	
OSTM1	-669.179	other	 	 	4.13E-02	Acp5,ATP6V0D2,BCL6,FOS,IRF8	 	
Igkv1-117	 	other	 	 	2.66E-02	CCND2,CDKN1A,CDKN1B,FOSL2,JUNB	 	
KDR	-64.047	kinase	 	-1.912	4.34E-02	CD38,CTLA4,HMOX1,LAG3,MESD,NME1,NME2,NR4A1,PDCD1,PIM1,PTGS2,SET,TJP1	 	
AGO4	-1.871	translation regulator	 	 	3.61E-02	BCL2L11,CXCR4	 	
SIN3B	-1.015	transcription regulator	 	 	1.03E-02	BCL6,CAD,CCNG2,CDK4,GADD45B,KLF10,KLF6,RRM2,SIN3A	 	
SUPT5H	-2.362	transcription regulator	 	 	1.41E-02	ANKRD37,CDKN1A,SUV39H1,TAF9B	 	
LRP1B	 	transmembrane receptor	 	 	3.61E-02	ABCA1,NCEH1	 	
FZR1	-3.180	kinase	 	1.471	9.00E-03	CCNE1,CDKN1B,MAP3K2,PFKFB3,TK1,VHL	 	
IND S7	 	chemical - kinase inhibitor	 	1.155	3.18E-03	ACTB,C1QBP,CALU,ERP29,FH,GLUD1,HAUS7,HSPA1A/HSPA1B,PGK1,PRDX2,PSMA1,TUBB	 	
MEL T1	 	chemical - kinase inhibitor	 	0.707	5.04E-03	C1QBP,FH,HIBCH,HSPA1A/HSPA1B,HSPD1,PGK1,PRDX1,PSMA1	 	
MEL S3	 	chemical - kinase inhibitor	 	1.941	1.31E-03	ACTB,C1QBP,CALU,EGR1,ERP29,FH,GLUD1,HAUS7,HSPA1A/HSPA1B,PGK1,PRDX2,PSMA1,TUBB	 	
PPP2R1A	1.172	phosphatase	 	-1.067	4.76E-02	IFNG,PPP2CA,PPP2R2A,PPP2R2D	 	
MIR200	 	group	 	-0.853	4.90E-02	EZH2,LRP1,RNF2,SEC23A,SLC5A3,TRIM2	 	
ABCA1	-7112.590	transporter	 	1.798	1.32E-01	ABCA1,CXCL3,CYP51A1,DGAT2,HMGCR,HSPA5,LDLR,NAMPT,PTGS2,SELP,SLC2A1,SREBF1	 	
LMNB1	-1.407	other	 	1.455	2.37E-02	AEBP1,B2M,CRIP1,CYP51A1,GDI2,HMGCR,HMGCS1,LDLR,MSMO1,RAD51,REEP5,S100A13,SERINC1,TGFBI,ZFR,ZHX1	 	
TCF12	-7.704	transcription regulator	 	 	1.32E-02	AATF,ACOT8,AP4B1,CDKN1A,CNOT9,ELF4,GATA3,HADHA,INTS13,LRBA,MVD,NR4A3,PAX5,PMS2,PTPRCAP,STRN3,XRCC6,ZC3H12A	 	
PAPOLA	-11775.919	enzyme	 	0.762	5.52E-03	MT-ATP6,MT-CO1,MT-CO3,PTGS2	 	
HTT	-7.341	transcription regulator	 	-1.510	7.60E-03	ABCA1,ACADM,ACAT2,ACOT2,ADAM23,AKAP12,AKT1,AKT2,ALDOA,AMD1,AP1S1,ARHGEF7,ATF3,ATP5J2,ATP6V0E1,ATP8A1,B2M,BCAP31,BCL2L11,BCL6,BHLHE40,BID,BIRC2,CANX,CASP1,CASP2,CASP3,CAST,CBX1,CD74,CD9,CDK5,CDKN1A,CEPT1,CHKA,CHUK,COL4A1,COL4A2,COX15,COX4I1,COX6B2,CPLX2,CREB1,CSF1R,CYC1,CYCS,CYP51A1,DNAJA2,DNAJB1,DNAJC3,DUSP5,ECI1,EEF1A1,EEF2,EGR1,EMC8,EMP3,EPB41L3,FDPS,FOS,GCLC,GRIN1,GRK2,GSR,HMGCR,HMGCS1,HPCAL1,Hspa1b,HSPA5,HSPA8,HSPA9,HSPD1,IFI16,IGF2,JUNB,KCNB1,Klf16,KLF4,KLF9,LDHB,LDLR,MPEG1,MT-CO3,MT-CYB,MYL4,MYT1L,NAB2,NDUFA11,NDUFA12,NDUFA3,NDUFA5,NDUFA7,NDUFB4,NDUFB8,NDUFS3,NDUFS4,NEDD8,NFE2L2,NFIL3,NR4A1,NR4A2,NSF,NSG2,P2RX7,PABPC4,PDE1B,PDXK,PER1,PIK3CA,POLB,POLR2A,POR,PPP2R2A,PRKCD,PSMB8,PSMB9,PTPN22,PTPN23,RAB10,RABGGTA,RABIF,RGS14,RGS9,RIPK2,RNF34,RPS6KA5,Sacs,SDHA,SEC22B,SELENOP,SEPHS1,Serpina3g (includes others),SESN1,SGK1,Sik1,SIRT3,SLC12A2,SLC25A22,SLC2A1,SMC2,SP3,SPP1,SRM,STAU1,STRN,STRN4,STX12,STX1A,SYN1,TFRC,TGFBI,Tmsb4x (includes others),TUBA4A,TUBB,UBE2G2,UBE2H,UCHL3,UQCRB,VAPB,YWHAG	1237 (18)	
YY1	-1.131	transcription regulator	 	-0.647	2.25E-03	ALCAM,API5,ARID3B,AURKA,BCL2L11,BRCA1,BTG2,BTLA,CASP7,CCNA2,CCR5,CD3D,CDKN1A,Celf1,COL9A3,CXCR4,CYBB,EEF1B2,EGR1,FDPS,FOS,GFER,HELLS,HIST1H4C,Hmgb3,HMGCR,HMOX1,Hnrnpa1,HSPA5,ICOSLG/LOC102723996,IFNG,KCNB1,KIF11,KIF23,LDLR,LMAN1,MAT2A,MCM4,MDM2,NCAPD2,NFKBIZ,PERP,PIAS1,Pmaip1,POLA1,POLB,POLK,PPP1R15A,PPP4R2,PRC1,PTPRA,RAB8B,RAD18,RAD51,RBBP4,RLIM,RRM1,SFXN1,SLC23A2,SLC25A4,SUV39H2,SYNCRIP,TBC1D14,TCF4,TGFBI,TGFBR1,TNFRSF13C,UHRF1,UNG,USP14,VEGFA,VEGFB	1018 (16)	
TCF4	-123.385	transcription regulator	 	-0.543	4.62E-04	ALCAM,ANXA6,ASF1B,BCL6,CBFA2T3,CCDC117,CCNA2,CD55,CDC20,CDKN1A,CIP2A,CRELD2,DCK,DSTN,DUT,EDEM1,ELF4,ENPP1,FASLG,FOS,GNE,HCST,Hmgn2 (includes others),HMMR,HSD11B1,HSPA13,HYOU1,IFI16,Ifi27,IQCB1,LEF1,LEPROTL1,Ly6a (includes others),MANF,MITF,NCAPG,OPTN,PACSIN1,PHEX,PRC1,RRM2,SAMD9L,SEC11C,SEC24D,SELENOP,SELL,Serpina3g (includes others),SGK1,SLC35B1,SPC25,SPP1,STAT3,SUB1,TAPBPL,TERT,TXNDC5,ZBP1	1115 (11)	
HSPA5	-3.530	enzyme	 	-0.172	3.99E-03	ACADM,ACLY,ATF6,BAX,BCL2L2,CASP3,CRTC1,EIF2A,HADHA,HSPA5,HSPA8,IDI1,IFIT1,ISG15,PTEN,SREBF1	 	
LRPPRC	-3.414	other	 	0.000	2.75E-04	MT-ATP6,MT-CO1,MT-ND1,MT-ND2,MT-ND5,MT-ND6	 	
PTTG1	-1621.805	transcription regulator	 	1.723	1.46E-02	ATM,CCNA2,CDKN1A,CDKN2D,MDM2,MLH1,MLH3,RAD52,REV3L,TLK2,UBE2B,VEGFA	 	
GTF2I	-6.586	transcription regulator	 	-1.940	2.04E-02	CAT,CD3D,CDKN1A,CDKN1B,FOS,HSPA5,THBS1	 	
LETMD1	-1382.436	other	 	 	2.35E-02	BAX,CDKN1A,MDM2	 	
RHO	 	g-protein coupled receptor	 	-0.538	1.30E-03	ACADM,AP2A2,ATF6,B2M,CASP3,CASP7,CD74,CSF1R,CTSS,DPYSL3,EIF2A,FOS,HIST1H1C,HK2,IMPDH1,KCNB1,MEF2C,NT5E,S100A6,SELENOP,SGK1,TNFAIP3	 	
ELOA	-14.684	transcription regulator	 	 	6.86E-03	ATF3,CCNE1,CDKN1A	 	
GATA1	 	transcription regulator	 	1.886	9.58E-02	AIP,ALOX5AP,ANK1,BCL2L11,BTG2,CCND2,CDK4,CDKN1B,CDKN2D,CIR1,CPA3,CYBB,DICER1,DUT,E2F3,EGR1,ENPP1,FOSB,Gar1,GART,GATA3,HSPA9,IPO5,JUNB,LYZ,MCM3,MITF,MS4A1,MSH2,NAB2,NFIL3,NHP2,NR4A2,PIGQ,PIM1,PIM2,POLA2,POLD1,PTPN6,RFC4,RRM1,SELP,SLC38A9,SLC3A2,SLC50A1,SPTB,SRM,TFRC,UAP1,UMPS,UNG,Usp17la (includes others)	 	
2-[[4-[(e)-styryl]phenoxy]methyl]oxirane	 	chemical reagent	 	 	2.35E-02	ABCA1,NR1H3,SREBF1	 	
RND3	-139.134	enzyme	 	-1.633	4.90E-02	BAX,CDKN1A,CDKN1B,PTEN,PTGS2,ROCK1	 	
IRF9	-5.739	transcription regulator	 	-1.086	3.64E-02	IFIT1,IFIT2,IFIT3,IFNG,IRF5,IRF7,IRF8,ISG15,SOCS3,STAT2,Tgtp1/Tgtp2,TNFSF10	 	
COPS8	-1.025	other	 	-0.447	2.66E-02	CCND2,CCNE1,CDK4,CDKN1A,CDKN1B	 	
ELF4	-16.275	transcription regulator	 	-1.963	6.97E-04	CBX1,CCR7,CDKN1A,CREM,DUSP1,DUSP5,KLF4,LYZ,MANF,MDM2,NDUFS8,PRF1,RCAN1,SELL,SPP1	 	
TMBIM6	-3.198	other	 	0.863	1.73E-02	ATG12,ATG5,EDEM1,EIF2A,HERPUD1,HMOX1,HSPA5,MAPK8	 	
HNRNPD	-1.037	transcription regulator	 	0.277	2.37E-02	CDKN1A,FOS,IL10,LDLR,TERC,TERT	 	
CUL4B	-7468.770	other	 	1.633	3.64E-02	CABLES2,COL4A1,HSPA9,NME1,PRDX3,PSMA1,PTEN,RNASEH1,SIAH1,TGFB1,TPM3,ZFP36	 	
MAPK1	-9.005	kinase	 	1.112	4.98E-03	ADAM17,ATF3,ATP1B1,AURKA,Bcl2a1c,BICRAL,BLZF1,CCDC82,CCR8,CD69,CD84,CDK19,CDK5R1,CDKN1A,CDKN1B,CRYBG1,CSGALNACT2,CTSB,DDT,DSE,DUSP1,DUSP2,EGR1,EIF2AK2,EMP1,ERCC1,ERP29,EVI5,EXOC2,FASLG,FOS,FOSB,GATA3,GLS,GNG2,H2AFV,HMOX1,IFI16,IFIT1,IFIT2,IFIT3,IFNG,IL12RB1,IRF7,ISG15,ISG20,ITGAV,JUNB,LAG3,LAP3,LGALS3,LIF,MECP2,MITF,MVP,MYBL2,NFE2L2,NRP1,NT5E,OAS1,ORC1,OSBPL3,PAIP1,PARP12,PHF11,PLSCR1,PPT2,PSMB8,PSMB9,PTGS2,RBM45,Serpina3g (includes others),SPP1,STAT2,TBX21,TDRD7,TJP1,TMEM87A,TNFRSF1B,TNFRSF9,TNFSF10,UBE2I,UBE2L6,USP18,ZC3HAV1	1175 (20)	
MED6	-2187.011	transcription regulator	 	 	3.61E-02	AURKA,IFIT2	 	
HDAC1	-10.373	transcription regulator	 	1.925	1.82E-01	Acp5,AKAP12,APAF1,APEX1,ATF3,ATG5,ATG7,BAMBI,BAX,BCL6,BRCA2,CCNA2,CCND2,CCNE1,CCNE2,CCR8,CD27,CDKN1A,CDKN1B,CDT1,COMMD3-BMI1,CSF1R,E2F2,EGR1,FOS,GABARAPL1,GSK3B,GSTP1,IL10,MCM3,MDM2,MEF2C,MYO1F,PFKFB3,POLD2,POLE4,POLL,PRIM2,PTEN,PTGS2,PTPN6,RGS10,RHOB,RRM2,SGK1,SLC35D1,SPP1,SREBF1,STAT3,STX1A,TERT,THEMIS,TPD52,UHRF1,VHL	 	
ROR2	 	kinase	 	0.600	1.22E-03	ABCF3,ACTR8,AURKA,BMP7,CCND2,CCNE1,CDC20,CDC7,CDK5RAP1,CDKN1A,CDKN1B,CREG1,GALM,MAP1B,MCM3,MCM4,MDM2,RBL2,SLC17A9,SLC25A46,SLF1,TFDP1,TPRKB,TRAF4,TSEN2,WEE1	 	
NR3C1	-5.392	ligand-dependent nuclear receptor	 	0.679	4.71E-04	ABCA1,ABI1,ACTB,AKT1,AKT2,AKTIP,ALOX5AP,ANGPTL7,APTX,ARRB1,ATG12,ATG4B,ATP1B1,ATP6AP1,B2M,BAG4,BARD1,BAX,BCL10,BCL2L11,BCL2L2,BCL6,BHLHE40,BIN1,BIRC2,BRAF,BRCA1,BTG1,CARD6,CASP7,CAT,CD38,CD69,CDKN1A,CLCF1,CORO2A,CSRNP1,CXCL3,CXCR4,DAPK2,DDIT4,DEGS1,DGAT2,DIABLO,DPF2,DUSP1,DUSP16,DUT,EBAG9,EGR1,ELMO2,ELMOD2,EMP1,ENC1,F2RL1,FASLG,FASTKD5,FNTA,FOS,GADD45B,GATA3,GLCCI1,GPR65,GRIN1,GRM7,GSTP1,GZMA,HERPUD1,HSD11B1,HSD17B12,IER3,IFIT2,IFT122,IL10,IL1RAP,IL3RA,ING3,IRF8,ISG15,ITGAV,KAT5,KLF9,LGALS8,LIF,MAEA,MAP4K3,MBD2,MDM2,MDM4,MTCH2,Mx1/Mx2,NAIP,NAMPT,NFIL3,NFKBIB,NSMAF,NSMCE3,PAK1,PAK2,PDCL3,PER1,PIGR,PIK3CB,PIK3R1,PLK2,POGK,PPP1R15A,PPP1R21,PPP2CA,PPP3CC,PPP3R1,PRKCD,PRKCI,PRPF40A,PSMA6,PTEN,PTGS2,PTP4A2,PTRH2,RBMS2,RGS2,RHOB,RIPK1,RIPK2,ROCK1,RRAGC,SAP30BP,SCAP,SELENOP,SERINC3,SERP2,SERPINB9,SGK1,SGPP1,SIAH1,SLC19A2,SMAD1,SPP1,STAT3,STK17B,STOM,TCF19,TGFB1,Tgtp1/Tgtp2,THBS1,TK1,TLR1,TNFAIP3,TNFAIP8,TNFRSF12A,TNFRSF1B,TNFRSF9,TP53BP2,TRAF4,Trim30a/Trim30d,TUBA4A,UBE2K,UGCG,USP54,WDR26,YWHAG,ZNF346	1347 (17)	
TOPBP1	-4997.606	other	 	1.727	2.37E-02	BAX,BLM,CDKN1A,CDKN1B,MDM2,Pmaip1	 	
FTH1	-1.777	enzyme	 	-1.346	2.66E-02	Abcb1b,ABCB4,IL10,PDCD1,TFRC	 	
CNB-001	 	chemical reagent	 	-0.816	9.00E-03	ASNS,ATF3,HERPUD1,PPP1R15A,SLC7A11,SYN1	855 (7)	
CTH	 	enzyme	 	 	2.35E-02	ASNS,CDKN1A,HSPA5	 	
NFKBIA	-3.200	transcription regulator	 	-1.691	2.29E-03	Abcb1b,ABCD3,ADGRE5,AEBP1,AK2,ALOX15B,ATP5J2,BAX,BCL2L2,BID,BIRC2,BTG2,CCNA2,CCNC,CCND2,CCNE2,CD69,CDC45,CDKN1A,CDKN2D,CTNNA1,CTSB,CTSZ,CXCL3,CXCR4,CYBA,ERO1A,FASLG,FOS,FSCN1,GADD45B,GAS5,GBP3,GCH1,GM2A,GRIN1,GZMK,HK2,HLA-A,HMOX1,Hnrnpa1,HSPA5,HSPA8,IER3,IFI16,IFNG,IGF2,IL10,IPO9,ISG15,ITGAV,JUNB,LIF,LITAF,LY6E,MATK,MDM2,MFGE8,MPDU1,MR1,MSH2,MT-CO3,MT-CYB,NDRG2,NFKBIB,NR4A1,PCDH7,PIK3R1,PIM1,POLB,POLR2C,PPP3CB,PTEN,PTGS2,PTP4A2,RABEP2,RCAN1,RIPK1,RNF19A,ROCK1,RPSA,RRM1,SCFD1,SCMH1,SERINC1,SGK1,SLC12A2,Slfn2,SOCS3,TFDP1,TFRC,TGFB1,TMPO,Tmsb4x (includes others),TNFAIP3,TNFAIP8,TNFRSF1B,TNFSF10,UBA1,Ubb,UBE2H,USP10,USP9X,VEGFA,XRCC5,XRCC6,Zfp68	1182 (18)	
FLT3	1.744	kinase	 	 	1.98E-03	BAX,BCL2L11,CCND2,CDKN1B,CYBA,CYBB,IFNG,IL10,LYZ,PIM1,PTPN6,RAD51,SLC2A1,XRCC5,XRCC6	1175 (14)	
QKI	-3.290	other	 	0.775	3.68E-03	CSF1R,ERCC2,HNRNPF,HNRNPH1,MAP1B	 	
DYSF	49.556	other	 	 	2.54E-06	ABCA1,ACOT9,ACTG1,ACTR3,B2M,CD48,Cd52,CD55,CD68,CD74,CHMP1A,Ctla2a/Ctla2b,CTSS,CYBA,DNAJB1,EVI2A,FCGR2B,GABARAPL1,GNAI3,GPR137B,GPR65,HLA-A,HLA-DQA1,HLA-DQB1,HSPA1A/HSPA1B,IDH3A,IFI16,LGALS3,LYZ,MPEG1,MYL4,S100A13,TMEM50B	 	
TNRC6A	-5.914	other	 	1.715	4.76E-02	BCL2L11,CDKN1A,LATS1,PTEN	 	
KIT	-40.689	transmembrane receptor	 	0.186	3.32E-02	BCL2L11,CCND2,CDKN1B,CPA3,CXCL3,CXCR4,HMOX1,HSD17B10,IFNG,IL10,IL12RB1,IL4R,LGALS3,LIF,MITF,NF1,PPP2R2A,PPP2R5A,PTPN18,PTPN6,SH3BP2,SHC1,SOCS3,SPP1,STAT3,TJP1	 	
CREBBP	-1.216	transcription regulator	 	-1.041	7.40E-03	AKAP12,ALAS1,ANXA6,AP3M2,ATF6,B2M,BCL6,BMP7,CAMK2D,CARD6,CCND2,CCR5,CCR7,CD160,CDKN1A,CDKN1B,CKB,CST7,CXCR4,CYBB,DDX3Y,DHRS3,DUSP1,EGR1,EHHADH,ERCC1,EVI2A,FASLG,FDPS,FDX1,FNDC3B,FOS,FOSB,FOSL2,FRMD4A,FRMD4B,GLCCI1,GM2A,GNG2,GPR18,GRIN1,HDAC11,HLA-G,HMGCS1,HSD11B1,HVCN1,IFNG,IL10,IL12RB1,IL18R1,ISG15,LDLR,MAFG,MCF2L,MCM3,MDM2,MEF2C,MFHAS1,MGA,MSH2,MYCBP,MYO1F,NDRG1,NFE2L2,NR4A1,NR4A2,NR4A3,PDE3B,PHIP,PRF1,PRKCD,PSMB9,PTGS2,RGS2,RHOA,Rnf125,RTP4,SDHC,SELP,SH2D1A,SIN3A,SLAMF1,SLC7A11,SOCS3,SREBF1,STAT4,STOM,TNFAIP3,TNFSF10,TSPAN31,USP18,Uty,VEGFA,XRCC6	1208 (17)	
LOC100359583/Ptma	 	other	 	 	3.61E-02	BAX,BCL2L11	 	
KLRC4-KLRK1/KLRK1	 	transmembrane receptor	 	-0.364	7.95E-03	CD69,FASLG,IFNG,IL10,LEF1,RXRA,TNFSF10,VEGFA	712 (7)	
ANP32A	 	other	 	 	6.86E-03	COX7A2L,PTGS2,TK1	 	
Cdc42	1.702	enzyme	 	-1.265	2.37E-02	ATP6V1A,BID,CASP1,CTSA,CTSB,CTSS,CTSZ,FASLG,GSK3B,LIF,MYH9,NPC2	 	
FLT1	 	kinase	 	-1.460	1.43E-02	AHCY,APLP2,BCL7B,BSDC1,CANX,CCNI,CDKN1A,DHCR24,EIF2S3,FOS,GDI2,HMOX1,LIMS1,LIN7C,MAT2A,RBBP4,SDHC,SURF1,TCF4,THBS1,UBE2B,UBE2H,VPS4A	 	
HAVCR1	 	other	 	-0.447	2.37E-02	CDK4,CDKN1B,GATA3,IFNG,IL10,TBX21	 	
Esrra	-145.966	transcription regulator	 	-1.848	2.73E-03	ACADM,ACOX1,AGL,ALDOA,ATP5G3,ATP5J,ATP5J2,ATP6V0D2,BDH1,BPGM,COX7A2L,Cox7c,CRAT,CYC1,CYCS,GABPA,GALM,GOT1,IDH3A,IFNG,NDUFA5,NDUFS3,OXCT1,PDK1,PGM1,PTGS2,PYGL,SIRT3,SLC2A1,SPP1	 	
TBX2	 	transcription regulator	 	-1.113	1.22E-03	ASF1B,ATF3,AURKA,BHLHE40,CCNA2,CCNL1,CDKN1A,CDT1,DMTF1,ELK3,EZH2,FAM120B,HAUS1,HELLS,MCM4,MED20,NCAPD2,NCAPG2,NFIL3,PARD6A,PHTF2,PKMYT1,PRC1,PRIM2,PTEN,SMC2	777 (7)	
Fus	-11.049	transcription regulator	 	 	4.00E-02	Ewsr1,HIST1H1C,HIST1H2BI,HNRNPH1,PMM2,TAF15,TUBA4A	 	
SLC19A1	-5.011	transporter	 	 	2.79E-02	Ly6a (includes others),NDRG2,PSMB8,Trim30a/Trim30d	 	
BACH2	-1.251	transcription regulator	 	1.858	4.63E-01	GATA3,HMOX1,IFNG,IL10,IL12RB2,IRF4,LEF1,PDE3B,TBX21	 	
WT1	 	transcription regulator	 	-0.129	8.86E-05	ADGRE5,AHCY,APLP2,ASNS,BTAF1,BTG2,CCNE1,CD2AP,CDC45,CDKN1A,CIRBP,CLIC1,CMPK1,COL4A1,CSF1R,CUL4B,DESI1,EGR1,FDPS,FIBP,FOSB,GSR,HCFC1R1,IDI1,IGF2,IL10,IL1RAP,IRF8,ITGAM,ITGB1BP1,JUNB,KLF4,KRAS,LGALS3,LMAN1,LRP1,MAPK8,MDM2,MPP1,MTIF2,MYL6,NCSTN,NDRG1,NME1,NQO2,NR4A2,ODC1,PDE8A,PTPN9,RAB40C,RALGPS2,ROCK1,RPL19,SEC13,SLC6A6,SOS1,STIM1,TARDBP,TERT,TFAP2A,TGFB1,THBS1,TMA16,TSPAN5,VEGFA,WARS,WDR74,WDR90,ZNF280B	816 (7)	
