© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	Skin tumor	4.30E-05	 	1.039	 	ABCG2,ABLIM2,ACTN1,ADA,ADAM23,ADAMDEC1,ADCK5,AFF1,AHR,ALKBH2,AMPH,ANGEL1,ANKRD29,ANKRD35,ANPEP,ANXA1,APOBEC2,ARHGAP22,ARHGAP28,ARMC3,ATF3,ATP6V0D2,AXDND1,B9D2,BANK1,BCAR3,BCAT1,BCL11A,BCO2,BHMT2,BLK,BLNK,BUD23,C14orf93,C1orf159,C3,C6,C8orf44-SGK3/SGK3,CACNA1E,CACNA2D4,CACNB1,CACNB4,CALCB,CAMKMT,CARNS1,CBY1,CCDC141,CCDC173,CCDC191,CCDC28A,CCDC73,CCDC88A,CCR3,CCR8,CD19,CD274,CD300LD,CD40,CD5L,CD79A,CD80,CD81,CDC42BPB,CDC42BPG,CDH1,CDH17,CDH23,CDK14,CDKN2A,CECR2,CELA1,CEP162,CEP290,CERKL,CFP,CHAD,CHGB,CHML,CHRM3,CHRM4,CHRNB1,CHST15,CIITA,CKAP4,CLCN2,CLEC9A,CNGA1,CNKSR3,COL10A1,COL11A2,COL20A1,CORO2B,CPNE2,CPNE7,CPNE8,CR2,CSF2RB,CSF3R,CSRNP1,CTLA4,CUTC,CYP17A1,DCAKD,DENND4A,DGKI,DLG2,DMAP1,DMPK,DNA2,DNAH17,DNASE1L3,DOCK7,DPYSL5,DSCAM,DSCC1,DSG2,DSP,DTWD2,DUSP12,DUSP22,DUSP5,DYSF,E2F6,EBF1,EEF1A1,EGR1,EHF,ENGASE,ENPP2,ENPP6,EPB41L5,EPHA1,ERBB2,ERVFRD-1,ESR1,EVC2,EVPL,EXOC1,F5,FAH,FAM109B,FAM124B,FAM184A,FAM71B,FAM78B,FAM83H,FAM91A1,FANCA,FBXL4,FCGR3A/FCGR3B,FCGRT,FCRL1,FGD2,FHIT,FILIP1,FMN1,FOS,FOSB,GADL1,GALK1,GALNT14,GALNT9,GARNL3,GBP6,GDAP1L1,GNAO1,GP2,GPR63,GPR83,GRHPR,GSTM5,GTSE1,GUCY1A3,HBB,HEPACAM2,HHEX,HLA-A,HLA-DOB,HPGD,HSF4,HSP90AA1,HSPA5,HSPA8,IFNG,IFT57,IGF1R,IL13RA1,IL15,IL18,IL1R2,IL1RL2,IL4R,IPP,IRAK3,IRF6,IRS1,IRS2,ISG20,ISPD,ITGA2B,ITGA3,ITGAD,ITK,JAG1,JAKMIP2,JAZF1,JUNB,KANK3,KCNA2,KCNB1,KCNC1,KCNJ10,KCNK6,KCTD7,KDELC1,KDM6B,KIAA0513,KIAA1324,KIAA1841,KIF13A,KIF19,KIF20A,KL,KLF12,KLK3,KSR2,KYNU,LAD1,LGALS4,LIPE,LMLN,LRP4,LRRC32,LRRC39,LSR,LYRM4,LYSMD1,MAGI1,MAP3K10,MAP3K13,MAP3K15,MAP6,MAP7D2,MAP7D3,MARCH1,MARCO,MASTL,MATN2,MCAM,MCRS1,MCTP1,MED18,MEN1,METTL26,MFHAS1,MFSD2A,MICAL3,MIER2,MIPOL1,MIS12,MIS18BP1,MLF1,MMP9,MOBP,MPP2,MREG,MRPS18A,MTTP,MYBL2,MYCL,MYO18B,MYO1H,MYPOP,NADSYN1,NAT1,NCCRP1,NDST2,NEB,NEK4,NEU3,NFIX,NHSL2,NLRC4,NMRAL1,NOTCH4,NOXO1,NR4A1,NR4A2,NR4A3,NSUN7,NUCB2,OAS1,OBSCN,ODC1,OR12D2,OR5K1,OVGP1,PABPC1L,PALLD,PAX5,PENK,PFKFB4,PGAM2,PGBD1,PHKA1,PIK3R3,PILRA,PILRB,PLA2G7,PLAG1,PLCE1,PLCL1,PLIN4,PLK2,PLXNB1,PMEPA1,POU2AF1,PPARG,PPP1R15A,PPP1R16B,PPP1R3B,PRAM1,PRDM9,PRKCG,PRNP,PSTPIP2,PTK2,PTPN14,PTPRM,PTRH1,PYGL,RAB27B,RAP1GAP2,RARB,RASAL1,RBKS,RBM44,RDH12,RDH5,RGL1,RGS1,RNF14,RNF144A,RNF152,RPH3AL,RSPH1,RUNDC3A,RYR1,SBSN,SCN11A,SCN4A,SEC14L1,SEC31B,SEC61A2,SELENBP1,SEMA3E,SERPINB9,SFMBT2,SGPP2,SH3TC1,SIGLEC10,SIGLEC9,SKIDA1,SLAMF6,SLC11A1,SLC16A2,SLC17A5,SLC17A9,SLC25A13,SLC25A14,SLC26A6,SLC27A1,SLC40A1,SLC7A11,SLFN12L,SLPI,SMCR8,SMIM24,SNCA,SPIRE1,SPON1,SPTB,STAB2,STARD9,STON1,STOX1,STYK1,SUSD2,SUSD4,SYT1,TBCE,TCP11,TDO2,TENM1,TEX15,TFPI,TGFB1I1,TGIF1,TIMD4,TJP1,TLE1,TLR8,TMC3,TMC4,TMCC3,TMEM138,TMEM185A,TMEM185B,TMEM19,TMEM231,TMEM255A,TMPRSS13,TNF,TNFRSF25,TNFRSF8,TNFSF13B,TPMT,TRDMT1,TRIM6-TRIM34,TRIM68,TRMT11,TSC22D2,TSHZ3,TSPAN33,TSPAN4,TTC39A,TUBB1,TUBE1,TVP23A,UNC13B,UTP14C,VCAN,VEGFA,WDFY2,WDR66,WFIKKN2,WWC1,YY2,ZBP1,ZC4H2,ZDHHC13,ZFP36L1,ZFP36L2,ZFR2,ZFYVE1,ZNF23,ZNF239,ZNF248,ZNF276,ZNF296,ZNF365,ZNF366,ZNF442,ZNF471,ZNF473,ZNF518B,ZNF606,ZNF626,ZNF667,ZPBP	460
Tissue Development	Development of epithelial tissue	8.89E-06	 	1.040	 	AHR,ANPEP,ARHGAP22,ASIP,C3,CALCB,CCR3,CD40,CDH1,CDKN2A,CEACAM1,CLCN2,CLEC1B,CXCR4,EGR1,EGR3,ENPP2,EPB41L5,ERBB2,ESR1,FOSL2,GNAO1,HHEX,HSF4,HSPA5,IFNG,IFT74,IFT88,IL18,IL4R,IPP,JAG1,KLF4,KLK3,MCAM,MKS1,MMP9,MYCL,NOTCH4,NR4A1,NR4A2,ODC1,PALLD,PLA2G4A,PPP1R16B,PTK2,PTPRM,RARB,SERPINF1,TFPI,TGFB1I1,TIMP2,TNF,TNFRSF25,UNC13B,VEGFA	56
Cardiovascular System Development and Function, Cellular Movement	Movement of vascular endothelial cells	1.88E-04	 	1.067	bias	ANPEP,ANXA1,EGR1,EGR3,ENPP2,ERBB2,GP1BA,HHEX,HSPA5,ID3,KLK3,MMP9,NR4A1,NR4A2,PLA2G4A,S1PR3,SEMA3E,STAB2,TIMP2,TJP1,TNF,TNFRSF25,VEGFA	23
Cellular Function and Maintenance	Organization of cells	1.21E-04	 	1.067	bias	CAPN3,CDH1,DSG2,ESR1,IFT88,NCKIPSD,NEB,OBSCN,PTK2,RYR1,TGM1,TNF,VEGFA	13
Cell Death and Survival	Cytolysis of blood cells	1.87E-04	 	1.091	bias	BATF3,Cd24a,CD8A,HLA-A,IFNG,IL15,IL18,LCAT,NFIL3,PFKM,PPP1R15A,SERPINB9,SUSD4,TNF,ULBP1	15
Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Morphology, Tissue Morphology	Quantity of double-positive thymocyte	5.86E-05	 	1.092	bias	Abcb1b,AFF1,BHLHE40,CD79A,CD80,CD8A,CDKN2A,CIITA,COL10A1,CTLA4,CXCR4,E2F6,ESR1,FOS,ITK,ITPKB	16
Cancer, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	Hepatocellular carcinoma	1.68E-07	 	1.093	 	ADA,AFG1L,ALG8,AMPH,ANXA1,ARHGAP22,BCO2,BUD23,C3,C7orf31,CCDC138,CD274,CD5L,CDH1,CDH17,CDK14,CDKN2A,CEACAM1,CENPH,CEP41,CFP,CLEC1B,COL10A1,CSF3R,CTLA4,Cyp4f17,DNAH17,DNASE1L3,DSCAM,EEF1A1,ENOX2,ENPP2,ERBB2,ERVFRD-1,ESR1,F5,FAH,FAM83H,FHIT,FOS,GCH1,GNAO1,GRHPR,HBA1/HBA2,HBB,HSP90AA1,HSPA5,HTATIP2,IFT57,IL18,IRS1,JAG1,JCHAIN,KLF6,KMO,LAPTM4B,LCAT,MARCO,MCRS1,MFSD2A,MMP9,NEB,OBSCN,PAQR4,PLCL1,PPARG,PPP1R15A,PPP1R16B,PROZ,RAP1GAP2,SCD,SCIMP,SOCS3,SPON1,STAB2,TENM1,TIMD4,TIMP2,TLE1,TMEM231,TNF,VCAN,VEGFA,ZFP36L1	84
Cell Death and Survival	Apoptosis of lymphocytes	3.32E-06	 	1.099	 	ADA,AHR,BCL11A,BLNK,CCR8,Cd24a,CD274,CD40,CD80,CDKN2A,CIITA,CR2,CTLA4,CXCR4,DUSP5,EGR1,EGR3,ETS2,FCGR3A/FCGR3B,FCMR,FOS,GADD45B,GP2,ID3,IFNG,IL15,IL17C,IL18,IRS2,ITK,LGALS4,NFKBID,NR4A1,NR4A3,POU2AF1,SERPINB9,SKIL,TNF,TNFRSF25,TNFSF13B,VEGFA	41
Cellular Function and Maintenance, Hematological System Development and Function	Function of helper T lymphocytes	5.27E-05	 	1.103	bias	ATF3,CD81,CIITA,DUSP1,GADD45B,IFNG,IL13RA1,IL18,IL4R,LILRB3,POU2AF1,SLAMF6,TNF	13
Cancer, Organismal Injury and Abnormalities	Melanoma	3.82E-07	 	1.131	 	ABCG2,ABLIM2,ACTN1,ADA,ADAM23,ADAMDEC1,AFF1,ALAS2,ALKBH2,AMPH,ANGEL1,ANKRD29,ANKRD35,ANPEP,ANXA1,APOBEC2,ARHGAP22,ARHGAP28,ARMC3,ATF3,ATF5,ATP6V0D2,AXDND1,B9D2,BANK1,BCAR3,BCAT1,BCL11A,BCO2,BHMT2,BLK,BLNK,BORA,BUD23,C14orf93,C1orf146,C1orf159,C3,C6,C8orf44-SGK3/SGK3,CACNA1E,CACNA2D4,CACNB1,CACNB3,CACNB4,CALCB,CAMKK1,CAMKMT,CAPN3,CARNS1,CBX4,CBY1,CCDC141,CCDC173,CCDC191,CCDC28A,CCDC73,CCDC88A,CCR3,CCR8,CD19,CD200,CD274,CD300LD,CD40,CD5L,CD69,CD79A,CD81,CDC42BPB,CDC42BPG,CDH1,CDH17,CDH23,CDK14,CDKL2,CDKN2A,CEACAM1,CECR2,CELA1,CEP162,CEP290,CERKL,CFP,CHAD,CHGB,CHML,CHRM3,CHRM4,CHRNB1,CHST15,CIITA,CKAP4,CLCN2,CLEC9A,CLK1,CNGA1,CNKSR3,COL10A1,COL11A2,COL20A1,CORO2B,CPNE2,CPNE7,CPNE8,CR2,CSF2RB,CSF3R,CSRNP1,CTLA4,CUTC,CXorf57,CYP17A1,CYP2R1,DAND5,DCAKD,DENND4A,DGKI,DLG2,DMAP1,DMPK,DNA2,DNAH17,DNAJB7,DNAJC28,DNASE1L3,DOCK7,DOK3,DPYSL5,DSCAM,DSCC1,DSG2,DSP,DTX4,DUSP12,DUSP22,DYSF,E2F6,EBF1,EEF1A1,EGR1,EGR3,EHF,ELOVL4,ENGASE,ENPP2,ENPP6,EPB41L5,EPHA1,ERBB2,ERVFRD-1,ESR1,EVC2,EVPL,EXOC1,F5,FAH,FAM109B,FAM114A1,FAM124B,FAM184A,FAM71B,FAM78B,FAM83H,FAM91A1,FANCA,FBXL4,FCGR3A/FCGR3B,FCGRT,FCRL1,FFAR2,FGD2,FILIP1,FITM2,FMN1,FOSB,GAB2,GADL1,GALK1,GALNT14,GALNT4,GARNL3,GBP6,GDAP1L1,GEN1,GGT1,GK5,GNAO1,GP2,GPR63,GPR83,GRHPR,GSTM5,GTSE1,GUCY1A3,HBB,HEPACAM2,HHEX,HLA-A,HLA-DMB,HLA-DOB,HLA-F,HPGD,HSF4,HSP90AA1,HSPA1A/HSPA1B,HSPA8,IER5L,IFNG,IFT57,IGF1R,IL15,IL18,IL1R2,IL1RL2,IL4R,INPP4B,IPP,IRAK3,IRF6,IRS1,IRS2,ISG20,ISPD,ITGA2B,ITGA3,ITGAD,ITK,JAG1,JAKMIP2,JMY,KANK3,KCNA2,KCNB1,KCNC1,KCNJ10,KCNK6,KCTD7,KDELC1,KDM6B,KIAA0513,KIAA1324,KIAA1841,KIF13A,KIF19,KIF20A,KL,KLF12,KLK3,KSR2,KYNU,LAD1,LGALS4,LIPE,LMLN,LRP4,LRRC20,LRRC32,LRRC39,LRRN3,LSR,LYRM4,LYSMD1,MAGI1,MANBAL,MAP3K10,MAP3K13,MAP3K15,MAP6,MAP7D2,MAP7D3,MARCH1,MARCO,MARS2,MARVELD2,MASTL,MATN2,MCAM,MCTP1,MED18,MEN1,METTL26,MFHAS1,MFSD2A,MICAL3,MIER2,MIPOL1,MIS12,MIS18BP1,MKS1,MLF1,MMP9,MOBP,MPP2,MREG,MTTP,MYBL2,MYO18B,MYO1H,MYPOP,NADSYN1,NAT1,NCCRP1,NCMAP,NDST2,NDUFAF7,NEB,NEK4,NEU3,NFIL3,NFIX,NHSL2,NLRC4,NMRAL1,NOTCH4,NOXO1,NR4A1,NR4A2,NR4A3,NSUN7,NUCB2,NUDT7,NXPE4,OAS1,OBSCN,ODC1,OR12D2,OR5K1,OVGP1,PABPC1L,PALLD,PARVA,PAX5,PENK,PFKFB4,PGAM2,PGBD1,PHKA1,PIK3R3,PILRA,PILRB,PLA2G2D,PLA2G4A,PLA2G7,PLAG1,PLCE1,PLCL1,PLIN4,PLK2,PLXNB1,PMEPA1,POU2AF1,PPARG,PPCDC,PPP1R15A,PPP1R16B,PPP1R3B,PRAM1,PRDM9,PRG3,PRKCG,PRNP,PROZ,PSTPIP2,PTK2,PTPN14,PTPRM,PTRH1,PYCR3,PYGL,RAB27B,RASAL1,RASGRP3,RBKS,RBM44,RDH12,RDH5,RFC3,RGS1,RNF14,RNF144A,RNF152,RPH3AL,RPSA,RSPH1,RSPH3,RTL5,RUNDC3A,RYR1,SBSN,SCD,SCN11A,SCN4A,SEC14L1,SEC31B,SEC61A2,SELENBP1,SEMA3E,SERPINB9,SERPINF1,SFMBT2,SGPP2,SH3RF1,SH3TC1,SIGLEC10,SIGLEC9,SKAP2,SKIDA1,SKIL,SLAMF6,SLC11A1,SLC16A2,SLC17A5,SLC17A9,SLC25A13,SLC25A14,SLC26A6,SLC27A1,SLC40A1,SLC7A11,SLFN12L,SLPI,SMCR8,SMDT1,SMIM24,SNCA,SORBS3,SPIN4,SPIRE1,SPON1,SPTB,STAB2,STARD9,STON1,STOX1,STYK1,SUSD2,SUSD4,SYT1,SYTL1,TBCE,TCEANC,TCP11,TDO2,TEAD2,TENM1,TEX15,TFPI,TGFB1I1,TGIF1,TIFAB,TIMD4,TIMP2,TJP1,TLE1,TLR8,TMC3,TMC4,TMCC2,TMCC3,TMEM126B,TMEM138,TMEM185A,TMEM185B,TMEM19,TMEM255A,TMPRSS13,TNF,TNFRSF25,TNFRSF8,TNFSF13B,TRIM2,TRIM6-TRIM34,TRIM68,TRMT11,TSC22D2,TSHZ3,TSPAN33,TSPAN4,TTC25,TTC39A,TUBB1,TUBB2B,TUBE1,TVP23A,UNC13B,USP46,UTP14C,VCAN,VEGFA,VIPR1,WDFY2,WDPCP,WDR34,WDR66,WFIKKN2,WWC1,YAE1D1,YY2,ZBP1,ZC4H2,ZDHHC13,ZFP36L1,ZFP36L2,ZFR2,ZNF23,ZNF239,ZNF248,ZNF276,ZNF296,ZNF365,ZNF366,ZNF442,ZNF473,ZNF518B,ZNF551,ZNF606,ZNF626,ZNF667,ZNF669,ZNF780A,ZPBP	522
Nutritional Disease	Weight gain	8.11E-05	 	1.152	 	AHR,BBS10,C3,CACNA1E,CALCB,CBY1,CEP290,CHRM3,CHRM4,CHRNE,ESR1,FITM2,FOS,HELZ2,HLA-A,IFNG,IGF1R,JUNB,KCNC1,KLF6,LIN9,MMP9,NFIX,NR1H3,NR4A1,NUCB2,ODC1,PNPLA8,PPARG,SCD,SCIMP,SCN11A,SCN4A,SOCS3,TNF,VEGFA	36
Cell-To-Cell Signaling and Interaction	Activation of tumor cell lines	8.88E-06	 	1.163	bias	CD40,CD80,CD8A,CDH1,CDKN2A,CTLA4,CXCR4,EGR3,IFNG,LILRB3,LY96,SPTB,TNF,TNFRSF8,VEGFA,ZBP1	16
Cell Death and Survival	Apoptosis of lymphatic system cells	2.51E-06	 	1.175	 	ADA,AHR,BCL11A,BCL2L2,BLNK,CCR8,Cd24a,CD274,CD40,CD80,CDKN2A,CIITA,CR2,CTLA4,CXCR4,DUSP5,EGR1,EGR3,ETS2,FANCA,FCGR3A/FCGR3B,FCMR,FOS,GADD45B,GP2,HSPA5,ID3,IFNG,IL15,IL17C,IL18,IRS2,ITK,LGALS4,NFKBID,NR4A1,NR4A3,POU2AF1,SERPINB9,SKIL,TNF,TNFRSF25,TNFSF13B,VEGFA	44
Neurological Disease, Organismal Injury and Abnormalities	Seizure disorder	5.78E-05	 	1.187	bias	AMPH,ARHGEF9,ATF3,BHLHE40,C3,CACNA2D4,CACNB4,CAMKK1,CDKL5,CDKN2A,CHGB,CLCN2,CREM,CXCR4,DOCK7,DUSP1,DUSP2,DUSP5,EGR1,EGR3,FOS,FOSB,GADD45B,GNAO1,HBA1/HBA2,HBB,HSPA1A/HSPA1B,HSPA8,JUNB,KCNA2,KCNB1,KCNC1,KCNJ10,KCTD7,MMP9,NAMPT,NFIL3,NR4A1,NR4A3,PLCL1,PLK2,PLK3,RGS1,RGS2,RNF144A,SCN11A,SCN4A,SOCS3,STRADB,UBC,UNC13B	51
Cell Death and Survival	Apoptosis of mononuclear leukocytes	3.51E-06	 	1.193	 	ADA,AHR,BCL11A,BLNK,CCR8,Cd24a,CD274,CD40,CD80,CDKN2A,CIITA,CR2,CTLA4,CXCR4,DUSP5,EGR1,EGR3,ETS2,FCGR3A/FCGR3B,FCMR,FOS,GADD45B,GP2,ID3,IFNG,IL15,IL17C,IL18,IRS2,ITK,KLF4,LGALS4,NFKBID,NR4A1,NR4A3,POU2AF1,SERPINB9,SKIL,TNF,TNFRSF25,TNFSF13B,VEGFA	42
Cell Death and Survival	Apoptosis of hepatoma cell lines	1.08E-04	 	1.208	 	AHR,BNIP3,CD40,CDKN2A,FOS,FOSB,HTATIP2,IFNG,IGF1R,MAP3K10,NR4A1,PMEPA1,PPARG,S1PR3,SCD,SERPINF1,TNF,TNS2,VCAN,VEGFA	20
Cellular Function and Maintenance	Function of mononuclear leukocytes	1.21E-06	 	1.247	 	Abcb1b,AHR,ATF3,BANK1,BATF3,BCAT1,BHLHE40,CACNB3,CD274,CD69,CD80,CD81,CD8A,CEACAM1,CIITA,CR2,CSF2RB,CTLA4,DUSP1,GADD45B,HLA-A,ID3,IFNG,IL13RA1,IL15,IL18,IL4R,ITK,LILRB3,NFKBID,POU2AF1,PPARG,SERPINB9,SLAMF6,SLPI,TLR8,TNF,TNFSF13B	38
Inflammatory Response	Inflammation of body cavity	1.06E-04	 	1.258	bias	ABCG2,ADA,AHR,ANXA1,ATF3,BUD23,C3,CALCB,CD200,CD274,CD40,CD69,CD80,CDH1,CDKN2A,CEACAM1,CEP41,CHRM3,CHRM4,CHRNB1,CHRNE,CIITA,CR2,CSF2RB,CSF3R,CTLA4,DUSP1,EGR1,ESR1,F2RL3,F5,FAH,FCGR3A/FCGR3B,FCGRT,FOSL2,GUCY1A3,HBA1/HBA2,HLA-A,HPGD,HSPA5,ID3,IFNG,IGF1R,IL15,IL18,IL4R,IRAK3,ITK,JUNB,KMO,LGALS4,LY96,MMP9,MT-CYB,MTTP,NFIL3,NFKBID,NFKBIZ,NLRC4,PER1,PLA2G4A,PLCE1,PPARG,SCD,SELENBP1,SGPP2,SLC7A11,SLPI,SOCS3,SRSF2,TBCE,TFPI,TLR8,TNF,TNFAIP3,TNFRSF25,TNFSF4,TPMT,VEGFA	79
Cardiovascular System Development and Function, Tissue Development	Development of endothelial tissue	3.63E-04	 	1.278	 	ANPEP,ARHGAP22,C3,CALCB,CCR3,CDKN2A,CEACAM1,CLEC1B,CXCR4,EGR1,EGR3,ENPP2,ERBB2,HHEX,HSPA5,IFNG,IFT88,IL18,IL4R,KLK3,MCAM,MMP9,NOTCH4,NR4A1,NR4A2,ODC1,PLA2G4A,PPP1R16B,PTK2,PTPRM,SERPINF1,TFPI,TIMP2,TNF,TNFRSF25,UNC13B,VEGFA	37
Cell Cycle	Entry into interphase	3.86E-05	 	1.279	 	BHLHE40,CD40,CDH1,CDKN2A,CTLA4,E2F6,EGR1,ERBB2,FOS,ID3,IGF1R,IL4R,IRS1,JUNB,KLF4,MYBL2,PAX5,PLK2,PPARG,TNF	20
Cellular Function and Maintenance, Hematological System Development and Function	Function of T lymphocytes	1.24E-05	 	1.291	 	Abcb1b,ATF3,BATF3,BCAT1,BHLHE40,CACNB3,CD274,CD69,CD80,CD81,CD8A,CEACAM1,CIITA,CSF2RB,CTLA4,DUSP1,GADD45B,HLA-A,ID3,IFNG,IL13RA1,IL15,IL18,IL4R,ITK,LILRB3,POU2AF1,SERPINB9,SLAMF6,TLR8,TNF	31
Cell Death and Survival	Cell death of lymphatic system cells	2.69E-05	 	1.309	 	ABCG2,ADA,AHR,BCL11A,BCL2L2,BLNK,CCR8,Cd24a,CD274,CD40,CD80,CDKN2A,CIITA,CR2,CTLA4,CXCR4,DUSP5,EGR1,EGR3,ETS2,FANCA,FCGR3A/FCGR3B,FCMR,FOS,GADD45B,GP2,HSPA5,ID3,IFNG,IL15,IL17C,IL18,IRS2,ITK,LGALS4,NFKBID,NR4A1,NR4A3,POU2AF1,SERPINB9,SKIL,TNF,TNFRSF25,TNFSF13B,VEGFA	45
Cellular Function and Maintenance	Function of leukocytes	2.46E-12	 	1.322	 	Abcb1b,ADA,AHR,ANPEP,ATF3,BANK1,BATF3,BCAT1,BHLHE40,C3,CACNB3,CCR3,CD200,CD274,CD40,CD69,CD80,CD81,CD8A,CEACAM1,CIITA,CLCN2,CR2,CSF2RB,CTLA4,DUSP1,DUSP2,DUSP5,EGR1,FCMR,FES,FOS,GAB2,GADD45B,HLA-A,HSP90AA1,ID3,IFNG,IL13RA1,IL15,IL18,IL4R,IRAK3,ITGAD,ITK,JCHAIN,LILRB3,LY96,MARCO,MMP9,NFKBID,NFKBIZ,NLRC4,PLA2G2D,PLA2G4A,POU2AF1,PPARG,RGS1,SERPINB9,SIGLEC9,SLAMF6,SLPI,TIMD4,TLR8,TNF,TNFAIP3,TNFSF13B,VEGFA	68
Cellular Function and Maintenance	Function of lymphatic system cells	3.30E-08	 	1.322	 	Abcb1b,AHR,ATF3,BANK1,BATF3,BCAT1,BHLHE40,CACNB3,CD274,CD69,CD80,CD81,CD8A,CEACAM1,CIITA,CLEC12A,CR2,CSF2RB,CTLA4,DUSP1,ESR1,GADD45B,HLA-A,ID3,IFNG,IL13RA1,IL15,IL18,IL4R,ITK,LILRB3,MMP9,NFIL3,NFKBID,NR1H3,POU2AF1,SERPINB9,SLAMF6,SLPI,TLR8,TNF,TNFSF13B,ZFP36L2	43
Cell Cycle	Entry into S phase	1.11E-04	 	1.335	 	BHLHE40,CD40,CDH1,CDKN2A,CTLA4,E2F6,ERBB2,FOS,ID3,IL4R,IRS1,JUNB,KLF4,MYBL2,PAX5,PLK2,PPARG,TNF	18
Cardiovascular Disease, Organismal Injury and Abnormalities	Occlusion of artery	1.42E-04	 	1.340	 	ADA,AHR,ANKRD29,CACNA1E,CACNB1,CACNB3,CACNB4,CD40,CERS6,EGR1,ESR1,F2RL3,F5,FAM78B,FOS,FOSB,GUCY1A3,HBA1/HBA2,IFNG,IL18,IRS1,ITGA2B,JUNB,KL,KLF4,KLF6,LCAT,LIPE,LRRC20,MATN2,MMP9,NR1H3,NR4A1,PARVA,PLA2G7,PPARG,PTPRM,QPRT,RGS1,SAMD4A,SCD,SERPIND1,SLC7A11,SOCS3,TFPI,TIMP2,TNF,TNFAIP3,TNFRSF25,TNFSF4,TUBB1,TUBE1,VCAN,VEGFA	54
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	Growth of mammary tumor	4.36E-05	 	1.348	 	CD274,CD80,CDH1,CTLA4,CXCR4,ERBB2,ESR1,FOS,HTATIP2,IFNG,IGF1R,MMP9,RARB,TIMP2,TLE1,TNF,TRIM17	17
Cellular Development, Cellular Growth and Proliferation, Endocrine System Development and Function, Organ Development	Proliferation of pancreatic cells	1.69E-04	 	1.350	bias	CDKN2A,CREM,CXCR4,IFNG,IGF1R,IRS2,MEN1,NR4A1,NR4A3,PPARG,SGPP2,SOCS3,TNF	13
Cardiovascular Disease, Organismal Injury and Abnormalities	Atherosclerosis	3.31E-05	 	1.421	 	ADA,AHR,ANKRD29,CACNA1E,CACNB1,CACNB3,CACNB4,CD40,CERS6,EGR1,ESR1,F5,FAM78B,FOS,FOSB,GUCY1A3,HBA1/HBA2,IFNG,IL18,IRS1,ITGA2B,JUNB,KL,KLF4,KLF6,LCAT,LIPE,LRRC20,MATN2,MMP9,NR1H3,NR4A1,PARVA,PLA2G7,PPARG,PTPRM,QPRT,RGS1,SAMD4A,SCD,SERPIND1,SLC7A11,SOCS3,TIMP2,TNF,TNFAIP3,TNFRSF25,TNFSF4,TUBB1,TUBE1,VCAN,VEGFA	52
Cellular Function and Maintenance	Regulation of blood cells	3.17E-04	 	1.432	bias	CD80,CEACAM1,CR2,CTLA4,EGR3,GAB2,IFNG,IL18,PPARG,TNF	10
Carbohydrate Metabolism	Quantity of carbohydrate	1.17E-04	 	1.432	 	Abcb1b,ABCG2,ADA,BBS12,C3,C8orf44-SGK3/SGK3,CACNA1E,CERS6,CHRM3,CIITA,CR2,DCXR,EEF1A1,ENPP2,ESR1,F2RL3,FABP3,FES,GATM,GNAO1,Hmgn3,HSPA5,IFNG,IL4R,IRS1,IRS2,LCAT,LIPE,MEN1,MMP9,NDST2,NR1H3,NR4A1,NUCB2,PEX11B,PFKM,PLA2G4A,PNPLA8,PPARG,PPP1R15A,PTK2,RGL1,RPH3AL,RYR1,SC5D,SCD,Sik1,SLC25A13,SLC3A2,SNCA,SRSF2,STAB2,TNF	53
Cellular Function and Maintenance	Function of blood cells	3.12E-12	 	1.520	 	Abcb1b,ADA,AHR,ANPEP,ATF3,BANK1,BATF3,BCAT1,BHLHE40,C3,CACNB3,CCR3,CD200,Cd24a,CD274,CD40,CD69,CD80,CD81,CD8A,CEACAM1,CIITA,CLCN2,CLEC1B,CR2,CSF2RB,CTLA4,DUSP1,DUSP2,DUSP5,EGR1,FCMR,FES,FOS,GAB2,GADD45B,HLA-A,HSP90AA1,ID3,IFNG,IL13RA1,IL15,IL18,IL4R,IRAK3,ITGA2B,ITGAD,ITK,JCHAIN,LILRB3,LY96,MARCO,MMP9,NFKBID,NFKBIZ,NLRC4,PLA2G2D,PLA2G4A,POU2AF1,PPARG,RAB27B,RGS1,SERPINB9,SIGLEC9,SLAMF6,SLPI,TIMD4,TLR8,TNF,TNFAIP3,TNFSF13B,TUBB1,VEGFA	73
Hematological Disease	Cytopenia	3.15E-04	 	1.544	bias	ALAS2,ANXA1,BCL11A,BLNK,C3,CD40,CD79A,CD8A,CLEC1B,CSF3R,CXCR4,EBF1,EGR1,FANCA,FCGR3A/FCGR3B,GP1BA,HLA-A,IFNG,IL15,IRAK3,IRF6,ITGA2B,ITPKB,MASTL,MMP9,PPARG,RARB,SLC11A1,TNF,TNFAIP3,TOB2,TPMT,TSPAN33,TUBB1,TUBE1,ZFP36L2	36
